,Data,Temperatura (C),Umidade Relativa (%),Ponto de Orvalho (C),Chuva,Faltas:
0,2023-01-02,27.129166666666666,73.17083333333333,21.65416666666667,0.0,0
1,2023-01-09,24.333928571428572,72.43511904761904,18.838690476190475,5.7,0
2,2023-01-16,26.386585365853662,74.59024390243903,21.153658536585368,57.1,4
3,2023-01-23,26.535928143712574,77.16407185628742,22.016167664670657,17.400000000000002,1
4,2023-01-30,27.904761904761905,69.50952380952381,21.43095238095238,1.5,0
5,2023-02-06,27.792035398230087,74.09026548672567,22.51504424778761,36.4,55
6,2023-02-13,30.849999999999998,56.849999999999994,21.233333333333338,0.0,162
7,2023-02-20,25.173214285714284,69.38928571428572,18.879464285714285,27.5,56
8,2023-02-27,25.804081632653062,76.3,21.03469387755102,14.399999999999999,70
9,2023-03-06,26.051190476190477,76.29404761904762,21.30595238095238,5.199999999999999,0
10,2023-03-13,26.45609756097561,79.2548780487805,22.347560975609756,39.300000000000004,86
11,2023-03-20,25.938297872340417,81.30212765957448,22.241489361702126,30.700000000000003,74
12,2023-03-27,29.331818181818186,62.395454545454534,21.109090909090906,0.0,146
13,2023-04-03,26.1234375,69.6484375,19.803125,5.6,104
14,2023-04-10,22.448507462686564,80.75373134328358,18.744776119402985,15.2,34
15,2023-04-17,23.270238095238096,80.07916666666667,19.45654761904762,52.6,0
16,2023-04-24,20.738690476190477,75.19345238095238,15.783333333333333,34.0,0
17,2023-05-01,22.088690476190475,78.7297619047619,17.99345238095238,5.699999999999999,0
18,2023-05-08,23.8497005988024,80.70838323353294,20.15808383233533,25.3,1
19,2023-05-15,20.084523809523812,70.33869047619046,14.193452380952381,0.0,0
20,2023-05-22,19.492857142857144,74.84285714285716,14.570238095238096,0.0,0
21,2023-05-29,21.607738095238094,82.12142857142857,18.301785714285717,14.399999999999999,0
22,2023-06-05,19.18511904761905,78.02202380952382,14.949404761904763,0.5,0
23,2023-06-12,20.517857142857142,76.81011904761904,15.92619047619048,8.1,0
24,2023-06-19,15.959119496855346,77.60251572327043,11.769811320754718,108.89999999999999,9
25,2023-06-26,18.901190476190475,78.35238095238095,14.782142857142858,8.8,0
26,2023-07-03,19.673809523809524,73.97440476190476,14.561309523809525,0.0,0
27,2023-07-10,19.36289308176101,79.65345911949686,15.545911949685536,21.3,9
28,2023-07-17,17.62831325301205,79.4578313253012,13.721686746987952,74.7,2
29,2023-07-24,17.437179487179485,78.33846153846153,13.525641025641026,3.3,12
30,2023-07-31,18.49813664596273,78.50621118012423,14.496273291925466,1.8,7
31,2023-08-07,19.609271523178805,79.78079470198676,15.762251655629141,0.0,17
32,2023-08-14,18.082638888888887,80.02152777777778,14.398611111111112,35.1,24
33,2023-08-21,19.760264900662246,79.2046357615894,15.807284768211918,22.9,17
34,2023-08-28,18.028205128205126,72.69679487179488,12.756410256410257,48.599999999999994,12
35,2023-09-04,17.99761904761905,81.51726190476191,14.570833333333335,23.2,0
36,2023-09-11,20.082312925170072,78.84285714285714,16.18163265306122,5.0,21
37,2023-09-18,21.03035714285714,74.02440476190475,15.927380952380954,0.5,0
38,2023-09-25,23.565562913907282,79.4092715231788,19.59337748344371,18.0,17
39,2023-10-02,19.759602649006624,82.58675496688741,16.58476821192053,71.1,17
40,2023-10-09,19.11,82.24199999999999,15.85266666666667,248.0,18
41,2023-10-16,19.890967741935484,78.76838709677419,15.909032258064514,80.6,13
42,2023-10-23,20.58378378378378,76.97297297297297,16.229054054054057,25.4,20
43,2023-10-30,22.553061224489795,76.75102040816326,18.00816326530612,68.9,21
44,2023-11-06,21.553896103896104,78.79285714285716,17.159740259740257,84.2,14
45,2023-11-13,24.177419354838708,70.9974193548387,18.241290322580642,5.6,13
46,2023-11-20,23.46,84.09806451612904,20.419999999999998,174.8,13
47,2023-11-27,24.011486486486486,72.97162162162162,18.554054054054053,17.2,20
48,2023-12-04,24.987974683544305,81.69746835443037,21.429746835443037,83.7,10
49,2023-12-11,24.49808917197452,79.56624203821657,20.40764331210191,42.400000000000006,11
50,2023-12-18,26.75032258064516,73.41225806451611,21.25741935483871,17.9,13
51,2023-12-25,28.468571428571426,68.45285714285714,21.707857142857144,15.8,28
